0.00528 0.303632	-0.0250993	0.642542	0.303638	-0.025102	0.642531	0.303632	-0.0250993	0.642542	0.303639	-0.0251023	0.642531	-0.215169	0.376781	0.0837443	0.0572083	0.0364065	0.0210164	0.214515	-0.377302	-0.0827775	-1.88018	0.74817	0.22639	
0.00459 0.303632	-0.0250993	0.642542	0.303637	-0.0251018	0.642534	0.303632	-0.0250993	0.642542	0.303637	-0.025102	0.642534	-0.205049	0.335086	0.0934504	0.0527715	0.0354659	0.0210594	0.20456	-0.335409	-0.0927292	-1.87575	0.749107	0.22634	
0.00254 0.303632	-0.0250993	0.642542	0.303635	-0.0251017	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0251019	0.642535	-0.178024	0.274774	0.106852	0.0463851	0.0328653	0.0211672	0.177702	-0.275054	-0.106203	-1.86936	0.751704	0.226228	
0.0014 0.303632	-0.0250993	0.642542	0.303634	-0.0251021	0.642536	0.303632	-0.0250993	0.642542	0.303635	-0.0251024	0.642537	-0.153602	0.219455	0.116812	0.0404776	0.0304114	0.0213298	0.153367	-0.21962	-0.116227	-1.86346	0.754149	0.226065	
0.00374 0.303632	-0.0250993	0.642542	0.303634	-0.0250989	0.642534	0.303632	-0.0250993	0.642542	0.303634	-0.0250992	0.642534	-0.149487	0.186071	0.118189	0.0368586	0.0297573	0.0213952	0.149267	-0.186616	-0.117666	-1.85984	0.754804	0.226004	
0.00517 0.303632	-0.0250993	0.642542	0.303637	-0.0250982	0.64253	0.303632	-0.0250993	0.642542	0.303637	-0.0250985	0.64253	-0.159246	0.171653	0.114322	0.0353254	0.0302359	0.0211339	0.158771	-0.172536	-0.113532	-1.8583	0.75433	0.22627	
0.002341 0.303632	-0.0250993	0.642542	0.303639	-0.0251011	0.642528	0.303632	-0.0250993	0.642542	0.30364	-0.0251014	0.642528	-0.162924	0.166874	0.105807	0.0348031	0.0296919	0.020467	0.162171	-0.16768	-0.104667	-1.85778	0.75488	0.226945	
0.00181 0.303632	-0.0250993	0.642542	0.30364	-0.0251009	0.642524	0.303632	-0.0250993	0.642542	0.30364	-0.0251012	0.642525	-0.151655	0.163563	0.0886477	0.0341976	0.0270921	0.0195862	0.150818	-0.164609	-0.0872851	-1.85717	0.757488	0.227834	
0.00181 0.303632	-0.0250993	0.642542	0.303643	-0.0251037	0.642521	0.303632	-0.0250993	0.642542	0.303644	-0.0251041	0.642521	-0.132326	0.157464	0.0637025	0.0330151	0.0233132	0.0187921	0.131167	-0.15851	-0.0619157	-1.85598	0.761276	0.228635	
0.00193 0.303632	-0.0250993	0.642542	0.303647	-0.0251012	0.642521	0.303632	-0.0250993	0.642542	0.303647	-0.0251015	0.642522	-0.110122	0.142318	0.0369374	0.0307142	0.0192477	0.0182887	0.108597	-0.14352	-0.0353433	-1.85368	0.765348	0.229139	
0.00523 0.303632	-0.0250993	0.642542	0.303647	-0.0251019	0.642523	0.303632	-0.0250993	0.642542	0.303647	-0.0251022	0.642524	-0.0817868	0.109159	0.0147827	0.0264814	0.0148923	0.0181295	0.0802931	-0.110182	-0.0132754	-1.84945	0.769699	0.229293	
0.00242 0.303632	-0.0250993	0.642542	0.303646	-0.0251031	0.642525	0.303632	-0.0250993	0.642542	0.303646	-0.0251034	0.642525	-0.046857	0.0610752	0.00107722	0.0206884	0.0104762	0.0182895	0.0454683	-0.06192	0.000410975	-1.84366	0.774108	0.229132	
0.00176 0.303632	-0.0250993	0.642542	0.303643	-0.0251003	0.642529	0.303632	-0.0250993	0.642542	0.303644	-0.0251006	0.64253	-0.0116148	0.00971167	-0.00476681	0.0145704	0.00672185	0.0186679	0.0104803	-0.010449	0.00572552	-1.83754	0.777851	0.228748	
0.00306 0.303632	-0.0250993	0.642542	0.303638	-0.0251006	0.642533	0.303632	-0.0250993	0.642542	0.303639	-0.0251009	0.642533	0.0135874	-0.0334534	-0.00521547	0.00945525	0.00454455	0.0190452	-0.0142297	0.0329461	0.0059632	-1.83243	0.780017	0.228363	
0.0027 0.303632	-0.0250993	0.642542	0.303635	-0.0251033	0.642532	0.303632	-0.0250993	0.642542	0.303635	-0.0251036	0.642533	0.0159412	-0.0495563	-0.0029224	0.00751513	0.00501696	0.019193	-0.0162297	0.0492155	0.00387019	-1.8305	0.779534	0.228217	
0.00525 0.303632	-0.0250993	0.642542	0.303633	-0.0251042	0.642531	0.303632	-0.0250993	0.642542	0.303634	-0.0251045	0.642531	-0.0122096	-0.0251989	0.000811174	0.0102664	0.00871909	0.0190688	0.0120856	0.0247891	0.000327315	-1.83325	0.775831	0.228344	
0.00499 0.303632	-0.0250993	0.642542	0.303632	-0.0251062	0.64253	0.303632	-0.0250993	0.642542	0.303633	-0.0251065	0.64253	-0.069277	0.0323758	0.00471126	0.0168864	0.0152772	0.0188467	0.0692271	-0.0327083	-0.00336687	-1.83987	0.769277	0.228568	
0.00223 0.303632	-0.0250993	0.642542	0.303637	-0.0251069	0.642524	0.303632	-0.0250993	0.642542	0.303637	-0.0251073	0.642524	-0.141233	0.103253	0.00281099	0.0249926	0.0228541	0.0186767	0.1407	-0.103921	-0.00098764	-1.84797	0.761713	0.22875	
0.00132 0.303632	-0.0250993	0.642542	0.303645	-0.0251052	0.642515	0.303632	-0.0250993	0.642542	0.303646	-0.0251055	0.642515	-0.206327	0.158428	-0.0108229	0.0311004	0.0288807	0.0187284	0.204922	-0.159803	0.0131721	-1.85406	0.755706	0.228715	
